,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
171,Kağızman Devlet Hast.,Kars,4,"74,75","76,11",Doğu Anadolu Bölgesi
173,Kars Susuz TSM.,Kars,2,"76,48","76,48",Doğu Anadolu Bölgesi
93,Daday İlçe Devlet Hast.,Kastamonu,2,"73,44","73,44",Karadeniz Bölgesi
92,İnebolu Devlet Hast.,Kastamonu,4,"73,71","78,05",Karadeniz Bölgesi
88,Azdavay İlçe Devlet Hast.,Kastamonu,3,"73,37","73,37",Karadeniz Bölgesi
90,Kastamonu Doğanyurt TSM.,Kastamonu,3,"73,5","73,5",Karadeniz Bölgesi
89,Kastamonu Hanönü TSM.,Kastamonu,3,"73,4","73,4",Karadeniz Bölgesi
91,Kastamonu Şenpazar TSM.,Kastamonu,2,"73,71","73,71",Karadeniz Bölgesi
316,Yahyalı Devlet Hast.,Kayseri,8,"75,32","76,17",İç Anadolu Bölgesi
317,Kayseri Şehir Hast.,Kayseri,156,"76,83","86,08",İç Anadolu Bölgesi
321,Kayseri Devlet Hast.,Kayseri,6,"81,54","87,14",İç Anadolu Bölgesi
320,Bünyan Devlet Hast.,Kayseri,8,"76,36","81,2",İç Anadolu Bölgesi
319,Develi Hatice-Muammer Kocatürk Devlet Hast.,Kayseri,8,"76,27","81,93",İç Anadolu Bölgesi
318,Yeşilhisar İlçe Devlet Hast.,Kayseri,3,"75,74","75,82",İç Anadolu Bölgesi
219,Kilis Devlet Hast.,Kilis,92,"75,65","80,18",Güneydoğu Anadolu Bölgesi
238,Kocaeli Çayırova İlçe Sağlık Müd.,Kocaeli,9,"80,42","80,42",Marmara Bölgesi
246,Kocaeli Karamürsel İlçe Sağlık Müd.,Kocaeli,3,"87,37","87,37",Marmara Bölgesi
240,Kocaeli Gebze İlçe Sağlık Müd.,Kocaeli,14,"82,21","82,95",Marmara Bölgesi
241,Kocaeli İzmit Seka Devlet Hast.,Kocaeli,18,"76,2","81,62",Marmara Bölgesi
237,Derince EAH.,Kocaeli,39,"75,24","79,76",Marmara Bölgesi
242,Kocaeli Gölcük İlçe Sağlık Müd.,Kocaeli,3,"80,76","80,76",Marmara Bölgesi
243,Kocaeli Kartepe İlçe Sağlık Müd.,Kocaeli,4,"85,56","85,56",Marmara Bölgesi
244,Kocaeli Devlet Hast.,Kocaeli,22,"77,36","81,32",Marmara Bölgesi
245,Kocaeli Başiskele İlçe Sağlık Müd.,Kocaeli,3,"83,2","83,2",Marmara Bölgesi
239,Kocaeli Körfez İlçe Sağlık Müd.,Kocaeli,9,"80,66","80,66",Marmara Bölgesi
247,Kocaeli İzmit İlçe Sağlık Müd.,Kocaeli,7,"84,11","85,91",Marmara Bölgesi
236,Kocaeli Darıca İlçe Sağlık Müd.,Kocaeli,9,"84,83","84,83",Marmara Bölgesi
229,Kandıra Ecz. Kazım Dinç Devlet Hast.,Kocaeli,11,"74,16","75,59",Marmara Bölgesi
235,Gölcük Necati Çelik Devlet Hast.,Kocaeli,21,"75,46","78,51",Marmara Bölgesi
230,Dilovası Devlet Hast.,Kocaeli,9,"74,99","76,74",Marmara Bölgesi
232,Kocaeli Dilovası İlçe Sağlık Müd.,Kocaeli,7,"78,18","78,18",Marmara Bölgesi
233,Kocaeli Kandıra İlçe Sağlık Müd.,Kocaeli,3,"79,64","79,64",Marmara Bölgesi
234,Darıca Farabi EAH.,Kocaeli,25,"76,21","80,42",Marmara Bölgesi
248,Kocaeli Derince İlçe Sağlık Müd.,Kocaeli,4,"81,18","81,41",Marmara Bölgesi
231,Gebze Fatih Devlet Hast.,Kocaeli,29,"75,57","82,43",Marmara Bölgesi
124,Konya Beyhekim EAH.,Konya,22,"76,64","80,75",İç Anadolu Bölgesi
123,Konya Şehir Hast.,Konya,474,"75,85","84,53",İç Anadolu Bölgesi
208,Kütahya Evliya Çelebi EAH.,Kütahya,97,"75,62","81,96",Ege Bölgesi
206,Emet Dr.Fazıl Doğan Devlet Hast.,Kütahya,6,"75,05","75,26",Ege Bölgesi
207,Tavşanlı Doç. Dr.Mustafa Kalemli Devlet Hast.,Kütahya,23,"75,42","81,11",Ege Bölgesi
87,Lüleburgaz Devlet Hast.,Kırklareli,33,"73,84","79,06",Marmara Bölgesi
85,Kırklareli EAH.,Kırklareli,29,"73,64","77,16",Marmara Bölgesi
86,Babaeski Devlet Hast.,Kırklareli,6,"73,33","79,6",Marmara Bölgesi
77,Kırıkkale Yahşihan İlçe Sağlık Müd.,Kırıkkale,3,"86,8","86,8",İç Anadolu Bölgesi
299,Mucur Devlet Hast.,Kırşehir,4,"75,47","76,51",İç Anadolu Bölgesi
297,Çiçekdağı İlçe Devlet Hast.,Kırşehir,2,"78,56","78,56",İç Anadolu Bölgesi
300,Akpınar İlçe Devlet Hast.,Kırşehir,2,"73,71","73,71",İç Anadolu Bölgesi
298,Kaman Devlet Hast.,Kırşehir,4,"73,67","74,05",İç Anadolu Bölgesi
301,Kırşehir EAH.,Kırşehir,12,"77,22","85,01",İç Anadolu Bölgesi
289,Doğanşehir Şehit Esra Köse Başaran Devlet Hast.,Malatya,18,"77,12","81,16",Doğu Anadolu Bölgesi
288,Darende Hulusi Efendi Devlet Hast.,Malatya,14,"76,58","79,33",Doğu Anadolu Bölgesi
286,Pütürge Devlet Hast.,Malatya,7,"76,02","76,2",Doğu Anadolu Bölgesi
287,Arapgir Ali Özge Devlet Hast.,Malatya,7,"76,33","76,54",Doğu Anadolu Bölgesi
381,Alaşehir Devlet Hast.,Manisa,9,"76,39","81,16",Ege Bölgesi
382,Saruhanlı Devlet Hast.,Manisa,3,"77,39","77,39",Ege Bölgesi
383,Kula Devlet Hast.,Manisa,8,"75,66","88,98",Ege Bölgesi
384,Turgutlu Devlet Hast.,Manisa,11,"76,44","79,17",Ege Bölgesi
379,Soma Devlet Hast.,Manisa,11,"77,31","81,96",Ege Bölgesi
380,Selendi Devlet Hast.,Manisa,2,"76,38","76,38",Ege Bölgesi
437,Midyat Devlet Hast.,Mardin,12,"78,64","86,27",Güneydoğu Anadolu Bölgesi
433,Dargeçit İlçe Devlet Hast.,Mardin,4,"81,61","85,45",Güneydoğu Anadolu Bölgesi
436,Ömerli İlçe Devlet Hast.,Mardin,3,"78,16","78,61",Güneydoğu Anadolu Bölgesi
438,Kızıltepe Devlet Hast.,Mardin,42,"78,19","85,46",Güneydoğu Anadolu Bölgesi
434,Mardin Mazıdağı İlçe Sağlık Müd.,Mardin,2,"80,16","80,16",Güneydoğu Anadolu Bölgesi
435,Mardin Ömerli TSM.,Mardin,2,"84,87","84,87",Güneydoğu Anadolu Bölgesi
439,Mut Devlet Hast.,Mersin,9,"75,53","79,85",Akdeniz Bölgesi
440,Tarsus Devlet Hast.,Mersin,21,"80,04","83,28",Akdeniz Bölgesi
441,Mersin Şehir Hast.,Mersin,56,"82,83","87,33",Akdeniz Bölgesi
346,Muğla EAH.,Muğla,55,"77,13","85,59",Ege Bölgesi
344,Yatağan Devlet Hast.,Muğla,13,"79,08","80,41",Ege Bölgesi
345,Datça Devlet Hast.,Muğla,10,"77,9","78,93",Ege Bölgesi
347,Milas Devlet Hast.,Muğla,13,"78,64","82,96",Ege Bölgesi
304,Muş Devlet Hast.,Muş,56,"75,03","80,63",Doğu Anadolu Bölgesi
303,Bulanık Devlet Hast.,Muş,22,"73,5","77,03",Doğu Anadolu Bölgesi
302,Malazgirt Devlet Hast.,Muş,15,"73,21","74,6",Doğu Anadolu Bölgesi
163,Derinkuyu İlçe Devlet Hast.,Nevşehir,3,"75,06","75,06",İç Anadolu Bölgesi
167,Avanos İlçe Devlet Hast.,Nevşehir,2,"79,68","79,68",İç Anadolu Bölgesi
166,Gülşehir İlçe Devlet Hast.,Nevşehir,2,"75,82","75,82",İç Anadolu Bölgesi
165,Nevşehir Devlet Hast.,Nevşehir,50,"76,54","88,47",İç Anadolu Bölgesi
162,Acıgöl İlçe Devlet Hast.,Nevşehir,3,"76,03","76,03",İç Anadolu Bölgesi
164,Hacıbektaş İlçe Devlet Hast.,Nevşehir,3,"74,71","74,71",İç Anadolu Bölgesi
144,Niğde EAH.,Niğde,22,"75,53","84,88",İç Anadolu Bölgesi
143,Bor Devlet Hast.,Niğde,9,"75,39","75,87",İç Anadolu Bölgesi
142,Çamardı İlçe Devlet Hast.,Niğde,4,"74,35","74,56",İç Anadolu Bölgesi
141,Çiftlik İlçe Devlet Hast.,Niğde,4,"73,43","73,57",İç Anadolu Bölgesi
105,Fatsa Devlet Hast.,Ordu,15,"77,93","81,42",Karadeniz Bölgesi
104,Kumru Devlet Hast.,Ordu,12,"73,34","76,04",Karadeniz Bölgesi
106,Ünye Devlet Hast.,Ordu,13,"78,5",88,Karadeniz Bölgesi
103,Korgan Devlet Hast.,Ordu,11,"72,42","75,23",Karadeniz Bölgesi
102,Akkuş Devlet Hast.,Ordu,8,"72,38","73,71",Karadeniz Bölgesi
100,Gölköy Devlet Hast.,Ordu,13,"73,16","74,87",Karadeniz Bölgesi
99,Mesudiye İlçe Devlet Hast.,Ordu,7,"71,94","72,34",Karadeniz Bölgesi
101,Aybastı Devlet Hast.,Ordu,11,"72,16","74,88",Karadeniz Bölgesi
406,Düziçi Devlet Hast.,Osmaniye,9,"75,52","78,38",Akdeniz Bölgesi
407,Osmaniye Devlet Hast.,Osmaniye,37,"76,11","82,68",Akdeniz Bölgesi
409,Osmaniye Hasanbeyli TSM.,Osmaniye,2,"77,17","77,17",Akdeniz Bölgesi
408,Osmaniye Sumbas TSM.,Osmaniye,2,"81,93","81,93",Akdeniz Bölgesi
255,Rize Devlet Hast.,Rize,16,"74,4","77,21",Karadeniz Bölgesi
254,Rize Recep Tayyip Erdoğan Üni. EAH.,Rize,30,"73,84","75,67",Karadeniz Bölgesi
202,Hendek Devlet Hast.,Sakarya,16,"74,59","75,83",Marmara Bölgesi
205,Karasu Devlet Hast.,Sakarya,8,"75,98","81,52",Marmara Bölgesi
203,Sakarya EAH.,Sakarya,257,"74,65","87,65",Marmara Bölgesi
204,Yenikent Devlet Hast.,Sakarya,43,"75,92","77,85",Marmara Bölgesi
270,Bafra Devlet Hast.,Samsun,12,"82,6","84,81",Karadeniz Bölgesi
271,Samsun Gazi Devlet Hast.,Samsun,8,"85,23","88,16",Karadeniz Bölgesi
269,Çarşamba Devlet Hast.,Samsun,14,"82,66","85,05",Karadeniz Bölgesi
265,Vezirköprü Devlet Hast.,Samsun,18,"76,49","79,84",Karadeniz Bölgesi
267,Havza Devlet Hast.,Samsun,6,"77,47","78,23",Karadeniz Bölgesi
266,Ladik Devlet Hast.,Samsun,4,"77,74","77,74",Karadeniz Bölgesi
268,Salıpazarı İlçe Devlet Hast.,Samsun,5,"84,13","84,13",Karadeniz Bölgesi
386,Siirt EAH.,Siirt,37,"77,65","88,38",Güneydoğu Anadolu Bölgesi
388,Siirt Kurtalan İlçe Sağlık Müd.,Siirt,3,"84,29","84,29",Güneydoğu Anadolu Bölgesi
385,Siirt Pervari İlçe Sağlık Müd.,Siirt,3,"80,32","80,32",Güneydoğu Anadolu Bölgesi
387,Siirt Eruh TSM.,Siirt,2,"76,21","76,21",Güneydoğu Anadolu Bölgesi
295,Boyabat 75.Yıl Devlet Hast.,Sinop,12,"74,04","79,15",Karadeniz Bölgesi
296,Sinop Atatürk Devlet Hast.,Sinop,19,"76,52","81,61",Karadeniz Bölgesi
84,Yıldızeli Devlet Hast.,Sivas,6,"74,5","74,97",İç Anadolu Bölgesi
83,Gemerek Devlet Hast.,Sivas,5,"75,64","77,61",İç Anadolu Bölgesi
82,Gürün Devlet Hast.,Sivas,6,74,"74,9",İç Anadolu Bölgesi
78,Divriği Sadık Özgür Devlet Hast.,Sivas,7,"73,4","74,37",İç Anadolu Bölgesi
80,Sivas Devlet Hast.,Sivas,61,"80,81","84,3",İç Anadolu Bölgesi
79,Kangal Devlet Hast.,Sivas,4,"74,05","74,64",İç Anadolu Bölgesi
81,Şarkışla Devlet Hast.,Sivas,6,"73,9","74,69",İç Anadolu Bölgesi
251,Şarköy Devlet Hast.,Tekirdağ,2,"76,4","76,4",Marmara Bölgesi
250,Çorlu Devlet Hast.,Tekirdağ,31,"74,51","83,5",Marmara Bölgesi
249,Çerkezköy Devlet Hast.,Tekirdağ,29,"74,22","82,74",Marmara Bölgesi
218,Almus Devlet Hast.,Tokat,4,"75,22","76,14",Karadeniz Bölgesi
217,Zile Devlet Hast.,Tokat,6,"76,47","76,52",Karadeniz Bölgesi
216,Reşadiye Devlet Hast.,Tokat,6,"75,43","77,29",Karadeniz Bölgesi
148,Araklı Bayram Halil Devlet Hast.,Trabzon,3,"76,94","76,94",Karadeniz Bölgesi
147,Trabzon Kanuni EAH.,Trabzon,42,"74,98","81,89",Karadeniz Bölgesi
146,Of Devlet Hast.,Trabzon,6,"74,53","75,12",Karadeniz Bölgesi
149,Trabzon Fatih Devlet Hast.,Trabzon,12,"76,15","83,49",Karadeniz Bölgesi
151,Tunceli Devlet Hast.,Tunceli,4,"77,89","79,56",Doğu Anadolu Bölgesi
150,Ovacık İlçe Devlet Hast.,Tunceli,3,"75,34","75,34",Doğu Anadolu Bölgesi
155,Uşak EAH.,Uşak,48,"76,66","88,87",Ege Bölgesi
153,Sivaslı İlçe Devlet Hast.,Uşak,5,"76,42","76,42",Ege Bölgesi
152,Eşme Devlet Hast.,Uşak,5,"75,62","75,62",Ege Bölgesi
154,Banaz Devlet Hast.,Uşak,6,"76,13","76,19",Ege Bölgesi
186,Çatak Devlet Hast.,Van,4,"75,65","86,19",Doğu Anadolu Bölgesi
179,Van Çaldıran İlçe Sağlık Müd.,Van,4,"73,41","74,77",Doğu Anadolu Bölgesi
193,Gürpınar İlçe Devlet Hast.,Van,4,"77,22","77,78",Doğu Anadolu Bölgesi
198,Van İpekyolu İlçe Sağlık Müd.,Van,4,"79,85","79,93",Doğu Anadolu Bölgesi
181,Van Bahçesaray TSM.,Van,3,"73,01","73,01",Doğu Anadolu Bölgesi
182,Bahçesaray İlçe Devlet Hast.,Van,7,"72,93","73,59",Doğu Anadolu Bölgesi
183,Van Özalp İlçe Sağlık Müd.,Van,5,"75,65","76,94",Doğu Anadolu Bölgesi
197,Van Tuşba İlçe Sağlık Müd.,Van,4,"79,71","82,8",Doğu Anadolu Bölgesi
196,Gevaş Devlet Hast.,Van,4,"77,25","77,36",Doğu Anadolu Bölgesi
187,Van Erciş İlçe Sağlık Müd.,Van,5,"76,71","77,1",Doğu Anadolu Bölgesi
185,Başkale Devlet Hast.,Van,9,"73,42","76,5",Doğu Anadolu Bölgesi
177,Van Başkale İlçe Sağlık Müd.,Van,4,"74,16","74,78",Doğu Anadolu Bölgesi
195,Van Edremit İlçe Sağlık Müd.,Van,5,"79,2","82,73",Doğu Anadolu Bölgesi
190,Van Gürpınar İlçe Sağlık Müd.,Van,3,"77,09","77,09",Doğu Anadolu Bölgesi
178,Van Çatak TSM.,Van,3,"73,13","73,13",Doğu Anadolu Bölgesi
189,Muradiye Devlet Hast.,Van,8,"75,41","76,92",Doğu Anadolu Bölgesi
192,Erciş Şehit Rıdvan Çevik Devlet Hast.,Van,33,"75,82","84,68",Doğu Anadolu Bölgesi
188,Özalp Devlet Hast.,Van,10,"75,66","77,35",Doğu Anadolu Bölgesi
191,Van Gevaş TSM.,Van,4,"78,16","81,41",Doğu Anadolu Bölgesi
176,Van Saray TSM.,Van,4,"73,92","74,77",Doğu Anadolu Bölgesi
184,Çaldıran Devlet Hast.,Van,12,"73,63","75,85",Doğu Anadolu Bölgesi
194,Van EAH.,Van,90,"77,88","86,74",Doğu Anadolu Bölgesi
180,Van Muradiye İlçe Sağlık Müd.,Van,3,"77,48","77,48",Doğu Anadolu Bölgesi
272,Yalova Devlet Hast.,Yalova,33,"76,67","81,73",Marmara Bölgesi
98,Sarıkaya Devlet Hast.,Yozgat,4,"73,41","73,5",İç Anadolu Bölgesi
94,Çekerek Şehit Harun Koçak Devlet Hast.,Yozgat,5,"72,95","73,6",İç Anadolu Bölgesi
97,Yozgat Şehir Hast.,Yozgat,44,"74,47","82,9",İç Anadolu Bölgesi
96,Sorgun Devlet Hast.,Yozgat,13,"74,2","77,02",İç Anadolu Bölgesi
95,Saraykent Şehit Beytullah Yeşilay İlçe Devlet Hast.,Yozgat,5,"72,92","75,31",İç Anadolu Bölgesi
252,Çaycuma Devlet Hast.,Zonguldak,14,"73,7","84,7",Karadeniz Bölgesi
253,Karadeniz Ereğli Devlet Hast.,Zonguldak,17,"76,65","79,26",Karadeniz Bölgesi
377,Çan Devlet Hast.,Çanakkale,8,"77,35","79,08",Marmara Bölgesi
376,Gökçeada Devlet Hast.,Çanakkale,4,"76,29","78,05",Marmara Bölgesi
378,Çanakkale Ayvacık İlçe Sağlık Müd.,Çanakkale,2,"82,6","82,6",Marmara Bölgesi
120,Ilgaz Devlet Hast.,Çankırı,4,"72,27","73,73",İç Anadolu Bölgesi
121,Çerkeş Devlet Hast.,Çankırı,3,"72,7","72,73",İç Anadolu Bölgesi
122,Çankırı Devlet Hast.,Çankırı,16,"74,2","78,53",İç Anadolu Bölgesi
161,Çorum Erol Olçok EAH.,Çorum,26,"75,1","82,02",Karadeniz Bölgesi
156,Kargı Ahmet Hamdi Akpınar İlçe Devlet Hast.,Çorum,4,"73,05","73,09",Karadeniz Bölgesi
157,İskilip Atıf Hoca Devlet Hast.,Çorum,8,"74,19","87,01",Karadeniz Bölgesi
158,Oğuzlar İlçe Devlet Hast.,Çorum,2,"72,95","72,95",Karadeniz Bölgesi
159,Sungurlu Devlet Hast.,Çorum,8,"73,49","74,78",Karadeniz Bölgesi
160,Alaca Devlet Hast.,Çorum,6,"73,36","77,37",Karadeniz Bölgesi
55,Eyüpsultan Devlet Hast.,İstanbul,30,"73,35","79,51",Marmara Bölgesi
54,Üsküdar Devlet Hast.,İstanbul,14,"78,78","83,62",Marmara Bölgesi
52,Ümraniye EAH.,İstanbul,91,"72,35","84,86",Marmara Bölgesi
57,Başakşehir Devlet Hast.,İstanbul,11,"73,81","76,48",Marmara Bölgesi
50,İstinye Devlet Hast.,İstanbul,14,"73,54","85,79",Marmara Bölgesi
53,Tuzla Devlet Hast.,İstanbul,48,"74,21","79,33",Marmara Bölgesi
48,Çatalca İlyas Çokay Devlet Hast.,İstanbul,12,"72,51",80,Marmara Bölgesi
56,Bahçelievler Devlet Hast.,İstanbul,47,"73,95","87,36",Marmara Bölgesi
51,Bayrampaşa Devlet Hast.,İstanbul,27,"75,15","83,94",Marmara Bölgesi
58,Büyükçekmece Mimar Sinan Devlet Hast.,İstanbul,27,"72,67","79,58",Marmara Bölgesi
49,Beykoz Devlet Hast.,İstanbul,42,"72,75","82,19",Marmara Bölgesi
42,İstanbul Bağcılar EAH.,İstanbul,105,"71,51","77,75",Marmara Bölgesi
46,İstanbul Fatih Sultan Mehmet EAH.,İstanbul,64,"71,74",78,Marmara Bölgesi
38,İstanbul Haseki EAH.,İstanbul,133,"71,64","82,85",Marmara Bölgesi
39,Gaziosmanpaşa EAH.,İstanbul,77,"71,37","84,16",Marmara Bölgesi
40,Arnavutköy Devlet Hast.,İstanbul,47,"72,41","82,89",Marmara Bölgesi
41,Sultanbeyli Devlet Hast.,İstanbul,75,"72,65","86,95",Marmara Bölgesi
37,İstanbul EAH.,İstanbul,152,"71,91","84,56",Marmara Bölgesi
43,Göztepe Prof. Dr. Süleyman Yalçın Şehir Hast.,İstanbul,96,"71,72","74,78",Marmara Bölgesi
44,Kağıthane Devlet Hast.,İstanbul,10,"73,38","74,99",Marmara Bölgesi
45,Silivri Devlet Hast.,İstanbul,23,"73,09","80,7",Marmara Bölgesi
47,Kartal Koşuyolu Yüksek İhtisas EAH.,İstanbul,77,"72,6","80,36",Marmara Bölgesi
375,Buca Seyfi Demirsoy EAH.,İzmir,69,"78,01","88,71",Ege Bölgesi
373,Kemalpaşa Devlet Hast.,İzmir,6,"79,36","87,27",Ege Bölgesi
372,Torbalı Devlet Hast.,İzmir,13,"79,24","86,79",Ege Bölgesi
371,Çeşme Alper Çizgenakat Devlet Hast.,İzmir,9,"76,4","84,06",Ege Bölgesi
367,Tire Devlet Hast.,İzmir,18,"77,84","84,21",Ege Bölgesi
369,Bergama Necla Mithat Öztüre Devlet Hast.,İzmir,14,"76,75","82,46",Ege Bölgesi
368,İzmir Atatürk EAH.,İzmir,112,"78,48","83,44",Ege Bölgesi
374,Çiğli EAH.,İzmir,23,"81,3","88,01",Ege Bölgesi
370,Ödemiş Devlet Hast.,İzmir,12,"77,01","80,71",Ege Bölgesi
329,Şanlıurfa Akçakale İlçe Sağlık Müd.,Şanlıurfa,3,"76,85","76,85",Güneydoğu Anadolu Bölgesi
327,Şanlıurfa Harran İlçe Sağlık Müd.,Şanlıurfa,2,"79,57","79,57",Güneydoğu Anadolu Bölgesi
331,Şanlıurfa Viranşehir İlçe Sağlık Müd.,Şanlıurfa,3,"79,61","79,61",Güneydoğu Anadolu Bölgesi
330,Suruç Devlet Hast.,Şanlıurfa,19,"75,92","80,86",Güneydoğu Anadolu Bölgesi
328,Şanlıurfa Ceylanpınar İlçe Sağlık Müd.,Şanlıurfa,3,"80,63","80,63",Güneydoğu Anadolu Bölgesi
334,Şanlıurfa EAH.,Şanlıurfa,87,"76,93","82,34",Güneydoğu Anadolu Bölgesi
335,Şanlıurfa Balıklıgöl Devlet Hast.,Şanlıurfa,17,"78,37","79,05",Güneydoğu Anadolu Bölgesi
333,Birecik Devlet Hast.,Şanlıurfa,22,"76,14","78,14",Güneydoğu Anadolu Bölgesi
337,Şanlıurfa Mehmet Akif İnan EAH.,Şanlıurfa,44,"79,41","87,05",Güneydoğu Anadolu Bölgesi
338,Siverek Devlet Hast.,Şanlıurfa,12,"79,05","82,86",Güneydoğu Anadolu Bölgesi
332,Ceylanpınar Devlet Hast.,Şanlıurfa,26,"76,39","81,07",Güneydoğu Anadolu Bölgesi
336,Viranşehir Devlet Hast.,Şanlıurfa,23,"77,25","81,46",Güneydoğu Anadolu Bölgesi
340,Şırnak Devlet Hast.,Şırnak,32,"77,28","80,82",Güneydoğu Anadolu Bölgesi
341,Silopi Devlet Hast.,Şırnak,17,"77,92","82,78",Güneydoğu Anadolu Bölgesi
343,İdil Devlet Hast.,Şırnak,13,"78,61","89,36",Güneydoğu Anadolu Bölgesi
339,Şırnak Şehit Aydoğan Aydın Devlet Hast.,Şırnak,14,"76,54","77,62",Güneydoğu Anadolu Bölgesi
342,Cizre Dr. Selahattin Cizrelioğlu Devlet Hast.,Şırnak,19,"78,63","87,53",Güneydoğu Anadolu Bölgesi
